streamer,title,url,views,duration,created_at
Michou,c si drole,https://www.twitch.tv/michou/clip/GrotesqueDignifiedJellyfishSuperVinlin-UVaVaFmSyofqAvUl,5,9.3,2025-05-30T19:34:18Z
Michou,bsieye,https://www.twitch.tv/michou/clip/GorgeousRelatedWallabyHassaanChop--gwHnivgp8dQ2bME,5,60,2025-05-30T19:23:55Z
Michou,michou,https://www.twitch.tv/michou/clip/GeniusAgileSalamanderAMPTropPunch-QnP_i65BKD2Rotus,5,60,2025-05-30T20:26:47Z
Raffale_,bon conceil,https://www.twitch.tv/raffale_/clip/MiniatureLongArugulaNerfRedBlaster-Vjq9mhEVVzvgkccM,5,12.5,2025-05-30T19:26:17Z
RASKA_yt,on a retrouver le voleur omg ???,https://www.twitch.tv/raska_yt/clip/VainAltruisticSowCeilingCat-pweZhmZ2zF7w5Bcb,5,60,2025-05-30T14:20:13Z
xonsah,ns’dkdkdkdkkdkdkdkdkd,https://www.twitch.tv/xonsah/clip/ViscousLitigiousSrirachaOhMyDog-jpyDthVDppEoTyeW,3,30,2025-05-30T22:45:44Z
Kaatsup,...,https://www.twitch.tv/kaatsup/clip/SilkySpoopyMangetoutChocolateRain-c9wVurOYW2OJaMy8,3,56.8,2025-05-30T17:45:54Z
Kaatsup,aller encore elle chie dans le lavabo,https://www.twitch.tv/kaatsup/clip/PlausiblePreciousGullAllenHuhu-NyQJRApqraBmkJCI,3,24.1,2025-05-30T19:21:31Z
Kaatsup,oups,https://www.twitch.tv/kaatsup/clip/TalentedResilientFloofTwitchRPG-7rfzvm6P0rsGMFgB,3,30,2025-05-30T19:11:24Z
Kaatsup,cunfou,https://www.twitch.tv/kaatsup/clip/GrotesqueHeadstrongAlbatrossPanicVis-WDRb8bRfs92vhJYU,3,60,2025-05-30T19:01:46Z
Hctuan,mdrrrrrrrr chien,https://www.twitch.tv/hctuan/clip/CrypticAgreeableDuckSeemsGood-_EZkDjiUtUfkEFKL,3,30,2025-05-30T19:18:32Z
Hctuan,les chien,https://www.twitch.tv/hctuan/clip/PopularTardyFennelPoooound-Xg5lT988rMSdIx1N,3,60,2025-05-30T19:22:43Z
Hctuan,Le neuille change de forme,https://www.twitch.tv/hctuan/clip/CreativeSolidClipsdadKappaRoss-pryYEBSakPI0fWaO,3,38.1,2025-05-30T19:16:32Z
Hctuan,lamcrotte,https://www.twitch.tv/hctuan/clip/WimpyRepleteNikudonCclamChamp-vW80m32HbHQY9WXL,3,59.1,2025-05-30T20:26:28Z
Hctuan,GANG de  chien,https://www.twitch.tv/hctuan/clip/TalentedShortChickpeaRlyTho-v5eBfTA96ID8BEwC,3,30,2025-05-30T19:20:18Z
Nico_la,mousieur,https://www.twitch.tv/nico_la/clip/AliveMuddyRaccoonRiPepperonis-NwySBpJaZYvqa8Ue,3,30,2025-05-30T13:16:08Z
RASKA_yt,..,https://www.twitch.tv/raska_yt/clip/UnsightlyRudeCrabsCmonBruh-hiJPTO8zr-fMOiZv,3,48.5,2025-05-30T16:08:04Z
